id;code_type_fact;libelle_type_fact;date_created;date_updated;user_created;user_updated;user_deleted
1;generate Berkshire;database;2020-03-24;2020-03-25;46848;73201;47380
2;Optimization;architectures Mountain Security;2020-03-25;2020-03-25;4907;43021;14764
3;Infrastructure;Credit Card Account Coordinator Incredible Soft Cheese;2020-03-25;2020-03-24;34772;7724;67568
4;Iowa Estate;Checking Account Rubber input;2020-03-24;2020-03-25;28360;14583;44015
5;Handmade Australia e-enable;Investment Account withdrawal Reduced;2020-03-25;2020-03-25;92840;29969;86995
6;Intelligent Shoes;back up Tasty Industrial;2020-03-25;2020-03-24;46874;68055;89901
7;EXE Agent;Tools;2020-03-25;2020-03-24;23138;73586;95982
8;customized feed;Fresh Computer zero defect;2020-03-25;2020-03-25;12850;91123;95320
9;Administrator Identity Dynamic;Wooden Car;2020-03-25;2020-03-25;70249;42291;11998
10;next-generation Tools;deposit South Carolina Granite;2020-03-24;2020-03-24;91788;71551;36956
