id;code_type_facture;libelle_type_facture;date_created;date_updated;user_created;user_updated;user_deleted
1;Customer Mills Dynamic;bandwidth;2020-03-25;2020-03-25;86753;66215;29993
2;leverage alarm;Configuration European Unit of Account 17(E.U.A.-17);2020-03-25;2020-03-25;49917;79221;63290
3;Comoro Franc Netherlands;Toys Steel;2020-03-25;2020-03-25;27604;5005;94103
4;hard drive;Berkshire;2020-03-25;2020-03-25;95887;28964;35954
5;Grass-roots;white;2020-03-24;2020-03-24;17988;4269;92372
6;Incredible Wooden Cheese;Unbranded Granite Cheese Tactics;2020-03-25;2020-03-25;10126;89709;62120
7;platforms;projection Rustic Soft Fish;2020-03-25;2020-03-25;33467;69381;64177
8;Estates;Intelligent Home Loan Account;2020-03-25;2020-03-25;22817;78112;61576
9;killer override;Mobility;2020-03-25;2020-03-25;75452;35707;94725
10;scale capability Product;Avon Armenian Dram;2020-03-25;2020-03-25;82538;11312;41380
