id;code_type_fournis;libelle_type_fournis;date_created;date_updated;user_created;user_updated;user_deleted
1;orchestration Forint;PNG Vermont;2020-03-24;2020-03-25;71872;20730;70856
2;Checking Account open architecture Berkshire;Pizza;2020-03-25;2020-03-24;86066;31032;59358
3;software IB;North Carolina;2020-03-25;2020-03-25;66345;40838;93664
4;copy;Cotton Architect panel;2020-03-25;2020-03-25;91010;75026;6779
5;overriding;Accounts Rustic Utah;2020-03-24;2020-03-25;60187;68209;9614
6;parsing;methodology olive;2020-03-25;2020-03-25;41819;10659;75106
7;Nebraska capacitor;array;2020-03-24;2020-03-25;26006;93141;51638
8;Salad;Quality-focused;2020-03-25;2020-03-25;73730;84662;88767
9;navigate;FTP;2020-03-25;2020-03-25;91172;99539;45978
10;Consultant;vertical Rapid;2020-03-25;2020-03-25;31324;47171;1196
