id;code;mode_calcul;taux;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;evolve end-to-end;impactful vortals;46198;2020-03-25;2020-03-24;2020-03-25;36084;42994;31883
2;Borders Future target;Investor Chair input;61221;2020-03-25;2020-03-25;2020-03-25;23238;16925;62364
3;throughput;Wallis and Futuna Global one-to-one;54850;2020-03-25;2020-03-25;2020-03-25;62207;94868;78
4;cross-platform paradigms Personal Loan Account;Keyboard Electronics mobile;30489;2020-03-24;2020-03-25;2020-03-25;17185;73621;33233
5;parsing;Personal Loan Account;6439;2020-03-24;2020-03-25;2020-03-25;45954;82945;15325
6;calculate Liaison;Kenya;89175;2020-03-25;2020-03-24;2020-03-25;87426;48522;60654
7;hub;Personal Loan Account New Israeli Sheqel;85010;2020-03-25;2020-03-25;2020-03-25;65936;88434;85716
8;reintermediate;Senior;25735;2020-03-24;2020-03-25;2020-03-25;16042;73637;89953
9;Product Comoros evolve;International;4461;2020-03-25;2020-03-25;2020-03-25;99557;28900;68094
10;HDD;Square;52107;2020-03-25;2020-03-24;2020-03-24;3987;89297;56857
