id;code_type_lit;libelle_type_lit;date_created;date_updated;user_created;user_updated;user_deleted
1;Lead Profit-focused Hat;Pre-emptive;2020-03-24;2020-03-25;79192;71496;39788
2;payment lavender;access Computers;2020-03-25;2020-03-25;77227;18561;81617
3;Station Cambodia;Car District withdrawal;2020-03-25;2020-03-25;14499;44753;32700
4;Operations Tuna;repurpose;2020-03-25;2020-03-24;2043;25779;29656
5;index;SAS;2020-03-24;2020-03-24;76535;32047;52132
6;high-level Architect;magenta Manor;2020-03-25;2020-03-25;2734;54469;58061
7;pixel Arizona Beauty;Hawaii Granite;2020-03-25;2020-03-25;30036;52693;61887
8;Savings Account programming Berkshire;payment Macao Gloves;2020-03-25;2020-03-25;51507;3078;38806
9;Iraqi Dinar Tunisian Dinar withdrawal;Wooden invoice Aruban Guilder;2020-03-24;2020-03-25;74199;11743;94557
10;SCSI Manager FTP;product compressing Washington;2020-03-24;2020-03-25;88011;67951;84868
