id;code_type_magasin;libelle_type_magasin;date_created;date_updated;user_created;user_updated;user_deleted
1;Refined Steel Keyboard input card;HDD action-items Thailand;2020-03-25;2020-03-25;78615;53303;2540
2;Marketing Computers;Dynamic 3rd generation;2020-03-25;2020-03-25;12834;23461;16208
3;Rustic Wooden Shoes asymmetric;PNG payment circuit;2020-03-25;2020-03-25;12052;59731;94193
4;Central Fish;Engineer background;2020-03-25;2020-03-24;10993;99566;99818
5;Assistant compress Cotton;wireless;2020-03-24;2020-03-25;17308;56167;83158
6;Avon protocol;Platinum;2020-03-25;2020-03-25;5037;77676;43416
7;5th generation cohesive;Checking Account Tala Cambridgeshire;2020-03-25;2020-03-25;45028;72096;23221
8;Frozen mission-critical;RAM Electronics;2020-03-25;2020-03-24;78324;33775;32841
9;neural-net green;compressing analyzer;2020-03-25;2020-03-25;47232;86440;99582
10;Rustic Fresh;web services;2020-03-25;2020-03-25;52304;45508;31597
