id;code_type_mvt_stock;libelle_type_mvt_stock;date_created;date_updated;user_created;user_updated;user_deleted
1;River;Industrial bluetooth;2020-03-24;2020-03-24;68079;69341;28988
2;Organized;Practical;2020-03-25;2020-03-25;69544;23764;85886
3;Expanded program Accounts;Small initiatives Games;2020-03-25;2020-03-25;33672;60684;8323
4;Health;Guyana Dollar;2020-03-24;2020-03-25;40621;68679;35283
5;Namibia;Dynamic white virtual;2020-03-24;2020-03-25;39735;79219;54378
6;robust Macedonia Multi-lateral;Senior;2020-03-24;2020-03-24;94014;6590;78303
7;Liberian Dollar capacitor XSS;FTP Fantastic Granite Sausages;2020-03-25;2020-03-25;97210;87036;31451
8;back up;Investor Distributed grow;2020-03-25;2020-03-25;1730;57534;40781
9;Consultant Proactive card;compressing Awesome;2020-03-25;2020-03-25;69566;56681;27889
10;wireless;Investment Account;2020-03-24;2020-03-25;21790;77713;20676
