id;code_type_notif;libelle_type_notif;date_created;date_updated;user_created;user_updated;user_deleted
1;auxiliary;engineer array synthesize;2020-03-25;2020-03-25;88082;15078;20621
2;Bermuda interfaces alliance;Ergonomic Soft Shirt EXE;2020-03-24;2020-03-25;34447;51006;83447
3;firewall Savings Account;bandwidth Bacon Generic;2020-03-25;2020-03-25;20203;39341;61488
4;multi-byte Solutions Steel;North Dakota;2020-03-25;2020-03-25;48027;66098;77296
5;open-source Borders;system-worthy haptic;2020-03-25;2020-03-24;96072;73151;74438
6;Applications Algerian Dinar;sticky bandwidth;2020-03-25;2020-03-25;15261;53247;47917
7;Architect;Usability;2020-03-25;2020-03-25;47432;48102;19783
8;Checking Account SSL Savings Account;copy Steel local area network;2020-03-24;2020-03-25;8517;46037;32345
9;Illinois Plastic protocol;compressing Intranet global;2020-03-25;2020-03-25;58826;70158;43344
10;Tools Concrete;lime;2020-03-25;2020-03-25;62538;85831;38761
