id;code_type_patient;libelle_type_patient;date_created;date_updated;user_created;user_updated;user_deleted
1;green Music;Computer Paradigm;2020-03-25;2020-03-25;8456;97468;71562
2;overriding paradigm Fantastic;Money Market Account;2020-03-25;2020-03-25;96219;77902;48462
3;New York Beauty;Belize Dollar;2020-03-25;2020-03-25;73467;35617;25554
4;white;Savings Account ability maximized;2020-03-25;2020-03-25;18228;5004;2106
5;Keyboard withdrawal;Tools Incredible;2020-03-25;2020-03-25;96612;44171;34513
6;web-readiness Practical Frozen Gloves object-oriented;New Hampshire bypassing;2020-03-25;2020-03-24;56995;98726;51058
7;Unbranded Frozen Towels Gorgeous Fresh Hat;Bedfordshire Delaware;2020-03-24;2020-03-25;73408;55424;34754
8;matrix;innovate;2020-03-24;2020-03-25;22883;3363;69337
9;whiteboard;local European Unit of Account 17(E.U.A.-17);2020-03-25;2020-03-24;16213;88927;9807
10;deliverables Arkansas Idaho;online Rwanda Franc;2020-03-25;2020-03-25;99716;72779;12411
