id;code_type_piece;libelle_type_piece;description_type_piece;date_created;date_updated;user_created;user_updated;user_deleted
1;reintermediate orchestrate;Fresh Concrete Open-architected;Dynamic Baby Niger;2020-03-25;2020-03-25;19744;75894;53873
2;exploit turn-key compressing;Senior;Pants Chief directional;2020-03-25;2020-03-25;93910;68522;31109
3;matrices maroon Handmade Granite Pants;Gorgeous Frozen Hat Reunion Supervisor;neural;2020-03-25;2020-03-25;12530;52768;13274
4;Hawaii;Ball wireless Light;hard drive;2020-03-25;2020-03-24;11280;64780;1775
5;Configuration;Fish Maryland;Fully-configurable Shoes;2020-03-25;2020-03-24;59948;35982;2708
6;Planner;synergies Soap;withdrawal Zimbabwe Markets;2020-03-24;2020-03-25;14153;47019;11395
7;Networked Executive;lime Yemeni Rial Cambridgeshire;Berkshire Games;2020-03-25;2020-03-25;24254;45961;95920
8;national Drive unleash;Clothing enterprise Avon;Honduras Avon synergistic;2020-03-24;2020-03-25;66592;33529;60619
9;Facilitator seamless Brand;gold withdrawal mint green;Jordanian Dinar;2020-03-25;2020-03-25;53956;18140;28922
10;Bedfordshire Personal Loan Account Jewelery;e-business;SMS;2020-03-25;2020-03-25;3917;11397;71886
