id;code_type_plat;libelle_type_plat;date_created;date_updated;user_created;user_updated;user_deleted
1;COM Fresh National;Refined Ball virtual;2020-03-25;2020-03-24;93085;2820;27462
2;mobile;North Dakota;2020-03-25;2020-03-25;7626;57918;66755
3;e-services;Tuna;2020-03-25;2020-03-25;11090;87323;1949
4;Jewelery open-source;Mount adapter card;2020-03-24;2020-03-25;8171;30198;37918
5;Row transmitting Unbranded Rubber Table;artificial intelligence;2020-03-25;2020-03-24;11605;19669;16392
6;Rustic Fresh Cheese;incubate;2020-03-25;2020-03-25;8199;27791;60971
7;Profit-focused Personal Loan Account Concrete;green North Carolina;2020-03-25;2020-03-25;7640;37208;55430
8;Credit Card Account Guernsey Accounts;deposit;2020-03-25;2020-03-25;38633;16612;10216
9;Incredible impactful Down-sized;Handmade Steel Cheese Corporate;2020-03-25;2020-03-25;72818;68683;58593
10;calculate;Clothing ADP;2020-03-24;2020-03-25;49823;84783;75575
