id;code_type_pole;libelle_type_pole;date_created;date_updated;user_created;user_updated;user_deleted
1;FTP;navigate Buckinghamshire;2020-03-25;2020-03-25;42874;8953;27706
2;multi-tasking;Down-sized;2020-03-25;2020-03-25;90225;19254;15603
3;sensor Metal;Shoes web-enabled;2020-03-25;2020-03-25;18216;60026;40220
4;back-end;Tactics;2020-03-25;2020-03-25;49808;75318;65913
5;neural;Tasty Granite Pizza deliverables;2020-03-25;2020-03-25;88652;37449;69359
6;zero defect;Borders;2020-03-25;2020-03-25;28077;46880;78765
7;system grey;Jewelery;2020-03-25;2020-03-25;14030;97093;42184
8;Liaison;Sports International;2020-03-24;2020-03-25;742;75653;79991
9;1080p overriding ADP;Investor;2020-03-25;2020-03-25;99626;18376;52214
10;magnetic Director Islands;schemas system;2020-03-25;2020-03-24;13457;82143;22962
