id;code_type_pr_charge;libelle_type_pr_charge;date_created;date_updated;user_created;user_updated;user_deleted
1;Granite;Multi-layered Forward;2020-03-25;2020-03-25;67953;95323;92747
2;Uruguay;Berkshire Reverse-engineered Uzbekistan;2020-03-25;2020-03-25;11591;80508;95683
3;backing up Manager panel;Checking Account;2020-03-25;2020-03-25;39086;6391;7181
4;collaboration Re-contextualized Quality;synthesizing;2020-03-25;2020-03-24;25525;10164;43500
5;Interactions world-class;grey monetize;2020-03-25;2020-03-25;43554;97546;24163
6;Steel mobile;Clothing California deposit;2020-03-25;2020-03-25;42656;31171;87174
7;hacking enhance programming;quantify Maldives invoice;2020-03-25;2020-03-25;42887;66435;77706
8;Borders Tactics;copying synthesize;2020-03-24;2020-03-25;52918;64940;65820
9;override EXE;Granite Lodge;2020-03-25;2020-03-24;78130;85038;16165
10;Associate matrix;Auto Loan Account Wooden;2020-03-25;2020-03-25;9286;68371;16835
