id;code_type_prod;libelle_type_prod;date_created;date_updated;user_created;user_updated;user_deleted
1;experiences Alabama Metrics;silver;2020-03-25;2020-03-25;91040;29821;12538
2;Djibouti Franc Rubber time-frame;leading-edge payment Home;2020-03-25;2020-03-24;51153;97002;91456
3;one-to-one technologies;Tasty Metal Bike Brand policy;2020-03-25;2020-03-25;37550;74662;19853
4;hack SMTP;24 hour Auto Loan Account Assistant;2020-03-25;2020-03-25;74141;24869;54900
5;pricing structure Argentine Peso;Money Market Account;2020-03-25;2020-03-24;70339;27208;97994
6;needs-based Fish Bosnia and Herzegovina;Fall Maine Sausages;2020-03-25;2020-03-25;20408;39436;34091
7;Generic Frozen Bike Towels web services;Specialist;2020-03-24;2020-03-24;23331;40282;9125
8;collaboration Grass-roots protocol;clear-thinking Customer;2020-03-25;2020-03-25;93236;56790;35996
9;Intelligent;violet;2020-03-25;2020-03-25;75164;86145;52056
10;Small calculate copying;Island Forward Forint;2020-03-25;2020-03-25;55128;38590;33499
