id;code;belle_type;multiplicite_choix;date_deleted;date_created;date_updated;user_update;user_delete
1;context-sensitive target Bedfordshire;Checking Account;83553;2020-03-24T21:23:40;2020-03-25T00:49:00;2020-03-25T09:14:02;88301;56317
2;revolutionize eco-centric;payment synthesize Investor;98170;2020-03-25T15:47:54;2020-03-25T09:10:32;2020-03-25T14:37:55;6061;66604
3;calculate Estonia;needs-based cross-platform;28295;2020-03-25T16:47:07;2020-03-25T19:12:07;2020-03-24T23:53:29;62853;90794
4;Handcrafted;Fantastic Soft Pants Wyoming Markets;30489;2020-03-25T11:27:09;2020-03-25T04:08:40;2020-03-24T21:36:28;59911;72690
5;Lead invoice Fantastic Steel Sausages;virtual program;86128;2020-03-25T01:01:55;2020-03-25T18:35:56;2020-03-25T07:37:16;84637;77855
6;secured line interface Diverse;Licensed Plastic Computer Shoes;73542;2020-03-25T11:31:59;2020-03-25T00:26:39;2020-03-25T06:25:27;2990;38177
7;transmit;Grocery payment Accountability;11319;2020-03-25T12:18:35;2020-03-25T08:14:45;2020-03-25T05:17:23;67255;80599
8;Executive;mobile Stream web-readiness;82733;2020-03-25T04:42:32;2020-03-25T00:06:39;2020-03-25T14:44:46;17671;52139
9;deposit Pants;Toys;89521;2020-03-25T15:08:07;2020-03-25T09:40:49;2020-03-25T09:56:22;16766;95710
10;Soap;navigating copying Soap;56809;2020-03-25T08:15:10;2020-03-25T01:51:48;2020-03-24T22:36:31;44872;39920
