id;code_type_report;libelle_type_report;date_created;date_updated;user_created;user_updated;user_deleted
1;Strategist;Avon Sleek Granite Chair Future;2020-03-25;2020-03-25;57822;8537;93341
2;optical;auxiliary Fantastic Home Loan Account;2020-03-25;2020-03-25;55992;77053;23569
3;Chicken;Electronics Ball real-time;2020-03-24;2020-03-25;22933;72755;89241
4;1080p connecting transition;Tunnel;2020-03-25;2020-03-25;76586;63461;6418
5;Cotton;Garden Soap Bedfordshire;2020-03-25;2020-03-25;64538;46265;50117
6;Security cultivate;indexing;2020-03-25;2020-03-25;58162;98685;7705
7;program;Chicken HTTP;2020-03-25;2020-03-25;14597;31333;900
8;neutral;blue;2020-03-24;2020-03-25;40162;63561;46596
9;Tasty index SDR;Drive;2020-03-25;2020-03-25;71859;57626;63964
10;Forward Seamless;payment;2020-03-24;2020-03-25;3184;67511;9961
