id;code_type_srv;libelle_type_srv;date_created;date_updated;user_created;user_updated;user_deleted
1;needs-based front-end;Granite China Automotive;2020-03-25;2020-03-25;27852;24305;77531
2;Object-based Pants Automotive;Berkshire;2020-03-24;2020-03-24;5988;92510;99621
3;Investment Account circuit;Quetzal Steel;2020-03-25;2020-03-24;10804;43943;59687
4;Liaison Managed;payment District impactful;2020-03-24;2020-03-25;6889;22137;90439
5;Dynamic Borders fault-tolerant;compress auxiliary;2020-03-24;2020-03-24;5831;35840;74530
6;fuchsia infrastructures Shirt;model;2020-03-25;2020-03-25;88848;84868;9772
7;cyan Shoes multi-byte;concept Auto Loan Account;2020-03-25;2020-03-25;92704;92665;66404
8;Tanzanian Shilling enable;Kids;2020-03-25;2020-03-25;63536;33689;48709
9;reinvent Plastic bifurcated;Netherlands Antillian Guilder synergize Frozen;2020-03-25;2020-03-25;11676;85082;25584
10;Chicken;Streets;2020-03-25;2020-03-25;69512;32798;52673
