id;code_type_soins;libelle_type_soins;date_created;date_updated;user_created;user_updated;user_deleted
1;Tuna Money Market Account Small;Sierra Leone;2020-03-25;2020-03-25;76047;16361;69967
2;program;Meadow microchip generating;2020-03-25;2020-03-25;83391;36438;50092
3;Investor;grey Port;2020-03-25;2020-03-25;46416;85447;13365
4;Upgradable Customizable;Rustic Land;2020-03-25;2020-03-24;80227;4292;78719
5;Cameroon Shoes Awesome Rubber Tuna;Manors TCP New Leu;2020-03-25;2020-03-25;71371;87891;34215
6;B2B;Outdoors Outdoors;2020-03-25;2020-03-25;58336;40983;17333
7;Licensed Fresh Chair Dynamic Egypt;Virginia Creative Awesome;2020-03-25;2020-03-24;37070;52373;32954
8;programming;Personal Loan Account Accounts;2020-03-25;2020-03-25;67737;63428;94667
9;input;enhance Yemeni Rial Michigan;2020-03-25;2020-03-25;70933;94579;22822
10;Berkshire 24/365 District;impactful program clicks-and-mortar;2020-03-25;2020-03-25;99590;73917;44535
