id;code_type_sortie;libelle_type_sortie;date_created;date_updated;user_created;user_updated;user_deleted
1;Mississippi Strategist;Bond Markets Units European Composite Unit (EURCO);2020-03-24;2020-03-25;85113;74777;11320
2;invoice Iran Fish;bus Ergonomic;2020-03-25;2020-03-25;74666;206;74086
3;deliverables Multi-tiered program;primary;2020-03-25;2020-03-25;12633;25570;83855
4;Pakistan Rupee;generate withdrawal;2020-03-25;2020-03-25;73952;88519;94973
5;Idaho RAM functionalities;bypassing next-generation initiatives;2020-03-25;2020-03-25;85770;80652;65791
6;Buckinghamshire open-source payment;XSS toolset Architect;2020-03-25;2020-03-24;63768;10830;75374
7;e-business;schemas orchid;2020-03-24;2020-03-25;85220;3257;63746
8;visualize;alarm Auto Loan Account Expanded;2020-03-24;2020-03-25;96471;45912;77308
9;Borders Kina;recontextualize Usability;2020-03-24;2020-03-25;95295;86929;86374
10;monitor Checking Account Adaptive;Credit Card Account one-to-one;2020-03-25;2020-03-25;23261;37934;71891
