id;code;libelle;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;Fantastic Steel Pants Personal Loan Account Rubber;Unbranded cohesive;2020-03-25;2020-03-25;2020-03-25;48167;67139;86655
2;Fish;Checking Account bluetooth;2020-03-24;2020-03-25;2020-03-24;33668;35931;82557
3;Rustic Metal Computer;Awesome Wooden Shoes;2020-03-24;2020-03-25;2020-03-25;29408;35826;29010
4;Reduced Dalasi Ergonomic;Hat Lead;2020-03-25;2020-03-25;2020-03-24;36596;82796;39363
5;copy;Ergonomic copying Steel;2020-03-24;2020-03-25;2020-03-25;36690;27647;22735
6;SMTP;calculate;2020-03-25;2020-03-24;2020-03-25;15224;62694;60669
7;turquoise;Cambridgeshire protocol;2020-03-25;2020-03-25;2020-03-24;63290;55233;89074
8;Home JSON Streamlined;Peso Uruguayo Uruguay Peso en Unidades Indexadas;2020-03-25;2020-03-25;2020-03-24;69778;12233;85986
9;XSS;Optimization;2020-03-25;2020-03-24;2020-03-25;85610;4191;25185
10;Metal Bacon Designer;Toys compress Metal;2020-03-24;2020-03-25;2020-03-25;79796;79044;40149
