id;code_type_unite;libelle_type_unite;date_created;date_updated;user_created;user_updated;user_deleted
1;Borders;synthesize interface Pants;2020-03-24;2020-03-24;1019;19993;3901
2;Specialist;Directives Tugrik Croatian Kuna;2020-03-25;2020-03-25;73382;40526;67406
3;Secured;program Steel;2020-03-25;2020-03-25;5029;15050;91883
4;Triple-buffered granular Vista;Land deliverables Money Market Account;2020-03-25;2020-03-25;63846;73907;83998
5;envisioneer Persevering Cambridgeshire;indexing User-centric open-source;2020-03-25;2020-03-25;13125;85242;15855
6;Pants;Hungary;2020-03-25;2020-03-25;47354;58271;9802
7;open-source quantify Incredible;Fantastic Money Market Account;2020-03-24;2020-03-25;35963;85888;67904
8;Borders Fords Avon;Metal;2020-03-24;2020-03-25;54908;4059;43941
9;Hong Kong Dollar Cotton Direct;Kiribati Soap Personal Loan Account;2020-03-25;2020-03-25;58866;69634;58246
10;Ville pixel Kwacha;knowledge user generate;2020-03-24;2020-03-25;91622;76286;12653
