id;description;date;date_renouv;date_created;date_updated;user_created;user_updated;user_deleted
1;modular portal deposit;2020-03-25;2020-03-25;2020-03-25;2020-03-25;10817;65969;92484
2;Steel magenta;2020-03-24;2020-03-24;2020-03-25;2020-03-25;43749;73647;95455
3;Handcrafted;2020-03-25;2020-03-25;2020-03-25;2020-03-25;79830;90423;13881
4;mission-critical;2020-03-25;2020-03-25;2020-03-25;2020-03-25;8087;32463;51261
5;parse;2020-03-25;2020-03-25;2020-03-24;2020-03-25;98618;46423;79296
6;e-enable synthesizing;2020-03-25;2020-03-24;2020-03-25;2020-03-25;52060;26902;19837
7;Bedfordshire Granite;2020-03-25;2020-03-25;2020-03-25;2020-03-25;87342;35021;65391
8;intermediate;2020-03-24;2020-03-24;2020-03-25;2020-03-25;74880;16780;71276
9;Table;2020-03-25;2020-03-24;2020-03-25;2020-03-25;28972;45389;45611
10;value-added SMS systemic;2020-03-25;2020-03-25;2020-03-24;2020-03-25;90126;39798;61888
